time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1656948800 -522.672702 3231.613202 -6121.921864 -33320538.617024 136156779.303366 59027559.166383
1656948900 -414.466418 3876.547260 -5742.855769 -33323396.834437 136156191.016969 59027304.133431
1656949000 -301.341646 4475.474382 -5295.448193 -33326255.040410 136155602.678978 59027049.078113
1656949100 -184.636584 5021.220310 -4784.945978 -33329113.232682 136155014.289860 59026794.000629
1656949200 -65.734908 5507.220031 -4217.354553 -33331971.413511 136154425.849149 59026538.900778
1656949300 53.949667 5927.596969 -3599.374745 -33334829.580600 136153837.357318 59026283.778766
1656949400 172.990219 6277.238960 -2938.326872 -33337687.736281 136153248.813888 59026028.634383
1656949500 289.963144 6551.863572 -2242.069827 -33340545.878257 136152660.219331 59025773.467836
1656949600 403.465668 6748.076811 -1518.908266 -33343404.007638 136152071.573418 59025518.279025
1656949700 512.132895 6863.419975 -777.495186 -33346262.125590 136151482.875911 59025263.067846
1656949800 614.654660 6896.405755 -26.728714 -33349120.229796 136150894.127285 59025007.834506
1656949900 709.792307 6846.542335 724.358744 -33351978.322588 136150305.327060 59024752.578796
1656950000 796.394086 6714.344203 1466.709850 -33354836.401671 136149716.475710 59024497.300922
1656950100 873.410146 6501.329542 2191.357777 -33357694.469300 136149127.572768 59024242.000682
1656950200 939.905672 6210.004707 2889.536358 -33360552.523199 136148538.618706 59023986.678279
1656950300 995.073052 5843.834285 3552.792621 -33363410.565661 136147949.613050 59023731.333509
1656950400 1038.241894 5407.199917 4173.090725 -33366268.594390 136147360.556273 59023475.966577
1656950500 1068.887607 4905.344902 4742.914596 -33369126.611681 136146771.447902 59023220.577278
1656950600 1086.637736 4344.310241 5255.359346 -33371984.615255 136146182.288407 59022965.165815
1656950700 1091.276525 3730.857654 5704.218162 -33374842.607370 136145593.077323 59022709.731986
1656950800 1082.747325 3072.387256 6084.056381 -33377700.585729 136145003.815122 59022454.275997
1656950900 1061.153065 2376.844039 6390.278498 -33380558.552663 136144414.501325 59022198.797640
1656951000 1026.754770 1652.622296 6619.181795 -33383416.505858 136143825.136409 59021943.297121
1656951100 979.968097 908.460906 6768.001050 -33386274.447608 136143235.719900 59021687.774235
1656951200 921.358225 153.339584 6834.940145 -33389132.375635 136142646.252269 59021432.229187
1656951300 851.632752 -603.631953 6819.193357 -33391990.292197 136142056.733049 59021176.661773
1656951400 771.633299 -1353.321279 6720.954362 -33394848.195014 136141467.162711 59020921.072198
1656951500 682.325147 -2086.685543 6541.413764 -33397706.086382 136140877.540781 59020665.460257
1656951600 584.785913 -2794.878001 6282.745397 -33400563.964004 136140287.867734 59020409.826154
1656951700 480.192349 -3469.357259 5948.080178 -33403421.830174 136139698.143095 59020154.169686
1656951800 369.806508 -4101.988734 5541.469934 -33406279.682615 136139108.367335 59019898.491055
1656951900 254.960185 -4685.146161 5067.838099 -33409137.523584 136138518.539988 59019642.790060
1656952000 137.039097 -5211.803321 4532.921868 -33411995.350784 136137928.661528 59019387.066906
1656952100 17.465591 -5675.622754 3943.201103 -33414853.166547 136137338.731473 59019131.321384
1656952200 -102.318464 -6071.032747 3305.820685 -33417710.968557 136136748.750303 59018875.553702
1656952300 -220.869827 -6393.297940 2628.500659 -33420568.757980 136136158.717775 59018619.763755
1656952400 -336.761638 -6638.577262 1919.440807 -33423426.535907 136135568.633666 59018363.951446
1656952500 -448.600998 -6803.970762 1187.219026 -33426284.300115 136134978.498432 59018108.116974
1656952600 -555.046557 -6887.554749 440.681746 -33429142.052844 136134388.311614 59017852.260138
1656952700 -654.824698 -6888.402745 -311.164627 -33431999.791814 136133798.073680 59017596.381142
1656952800 -746.745440 -6806.593855 -1059.268603 -33434857.519322 136133207.784157 59017340.479781
1656952900 -829.716466 -6643.207506 -1794.643526 -33437715.233051 136132617.443523 59017084.556262
1656953000 -902.756341 -6400.304814 -2508.480355 -33440572.935333 136132027.051297 59016828.610376
1656953100 -965.005582 -6080.898217 -3192.252117 -33443430.623872 136131436.607953 59016572.642329
1656953200 -1015.736509 -5688.908086 -3837.817899 -33446288.300924 136130846.113024 59016316.651919
1656953300 -1054.360875 -5229.110413 -4437.515979 -33449145.964211 136130255.566982 59016060.639349
